customer_id,gender,senior_citizen,tenure_months,contract,internet_service,online_security,tech_support,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST-10050,Female,0,13,Month-to-month,No,Yes,No,No,Credit card,18.0,226.51,0,No
CUST-10051,Male,0,7,Month-to-month,DSL,No,Yes,Yes,Electronic check,70.83,493.22,2,Yes
CUST-10052,Male,0,22,Two year,DSL,No,Yes,Yes,Mailed check,61.87,1309.37,0,No
CUST-10053,Male,1,29,Month-to-month,No,No,Yes,No,Credit card,18.0,522.43,3,No
CUST-10054,Male,0,6,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,80.12,478.9,0,No
CUST-10055,Male,0,19,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,64.52,1158.39,2,No
CUST-10056,Female,0,51,Month-to-month,No,No,Yes,Yes,Credit card,35.14,1849.94,0,No
CUST-10057,Male,0,61,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,81.57,5025.13,0,Yes
CUST-10058,Female,0,42,Month-to-month,DSL,Yes,No,No,Credit card,39.73,1518.69,4,No
CUST-10059,Female,0,2,Month-to-month,DSL,Yes,No,No,Credit card,80.08,145.05,3,Yes
CUST-10060,Female,0,27,Month-to-month,Fiber optic,Yes,Yes,Yes,Credit card,78.9,2146.13,3,No
CUST-10061,Female,0,55,Two year,DSL,No,No,No,Bank transfer,72.86,3986.34,3,No
CUST-10062,Male,0,17,One year,DSL,Yes,Yes,Yes,Electronic check,60.1,1061.24,0,No
CUST-10063,Female,0,9,Two year,No,No,No,No,Mailed check,24.15,217.66,3,No
CUST-10064,Male,0,52,Month-to-month,DSL,No,Yes,No,Credit card,79.44,3846.64,3,No
CUST-10065,Male,0,57,Month-to-month,Fiber optic,No,No,No,Electronic check,86.01,4442.99,2,Yes
CUST-10066,Female,0,25,Month-to-month,DSL,Yes,No,Yes,Electronic check,26.7,654.06,5,Yes
CUST-10067,Male,0,9,Two year,Fiber optic,No,Yes,Yes,Mailed check,91.84,805.47,1,No
CUST-10068,Male,0,5,Month-to-month,Fiber optic,No,No,No,Mailed check,70.2,365.24,3,No
CUST-10069,Male,1,32,Month-to-month,Fiber optic,Yes,No,No,Credit card,68.93,2219.49,2,No
CUST-10070,Female,0,15,Two year,DSL,No,No,Yes,Credit card,50.09,777.64,1,No
CUST-10071,Male,0,23,Two year,DSL,No,Yes,No,Electronic check,23.24,541.66,0,No
CUST-10072,Male,0,22,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,72.51,1593.73,3,No
CUST-10073,Male,0,12,One year,DSL,No,No,No,Bank transfer,60.98,720.38,2,No
CUST-10074,Female,0,5,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,98.8,487.56,2,No
CUST-10075,Male,0,18,Month-to-month,DSL,Yes,No,Yes,Electronic check,59.11,1038.61,2,No
CUST-10076,Male,0,27,Month-to-month,DSL,Yes,Yes,Yes,Electronic check,60.38,1672.47,1,Yes
CUST-10077,Male,1,28,Two year,DSL,No,No,No,Electronic check,51.1,1338.17,1,No
CUST-10078,Female,0,14,Month-to-month,No,Yes,No,No,Bank transfer,20.67,300.21,4,No
CUST-10079,Female,1,56,One year,Fiber optic,No,No,Yes,Electronic check,82.61,4551.73,0,No
CUST-10080,Female,0,9,Month-to-month,Fiber optic,No,No,No,Bank transfer,92.07,800.13,2,Yes
CUST-10081,Male,0,48,One year,Fiber optic,Yes,No,No,Bank transfer,74.91,3349.81,2,No
CUST-10082,Male,0,27,One year,Fiber optic,Yes,No,Yes,Electronic check,89.53,2275.62,0,No
CUST-10083,Female,0,18,One year,DSL,Yes,No,Yes,Mailed check,29.23,519.56,5,No
CUST-10084,Female,0,35,Two year,Fiber optic,Yes,No,No,Electronic check,99.46,3212.24,2,No
CUST-10085,Female,0,21,One year,Fiber optic,No,No,Yes,Bank transfer,86.23,1630.64,1,No
CUST-10086,Male,0,7,One year,Fiber optic,No,No,No,Electronic check,88.51,581.72,2,Yes
CUST-10087,Male,0,9,Month-to-month,DSL,No,No,Yes,Credit card,50.14,426.73,2,No
CUST-10088,Female,0,20,Two year,No,No,No,Yes,Credit card,38.53,802.43,3,No
CUST-10089,Female,0,16,Month-to-month,Fiber optic,No,No,No,Mailed check,61.94,978.46,3,No
CUST-10090,Male,0,47,Month-to-month,DSL,No,No,No,Credit card,50.61,2285.37,4,No
CUST-10091,Female,1,15,Month-to-month,No,No,No,Yes,Mailed check,36.65,575.88,2,No
CUST-10092,Female,0,14,Month-to-month,DSL,Yes,No,Yes,Electronic check,64.26,859.28,2,No
CUST-10093,Male,0,13,One year,DSL,Yes,Yes,No,Electronic check,70.39,955.1,2,Yes
CUST-10094,Female,0,12,Month-to-month,DSL,No,No,No,Bank transfer,45.21,564.93,4,No
CUST-10095,Male,1,12,Month-to-month,No,No,No,Yes,Mailed check,29.97,360.92,4,Yes
CUST-10096,Male,0,8,Two year,DSL,No,No,Yes,Credit card,58.29,456.43,2,No
CUST-10097,Female,0,28,Two year,Fiber optic,No,No,No,Credit card,84.56,2422.7,0,No
CUST-10098,Female,1,22,Month-to-month,Fiber optic,No,No,No,Mailed check,115.71,2414.77,2,Yes
CUST-10099,Male,1,21,Two year,Fiber optic,Yes,Yes,No,Mailed check,125.48,2516.99,0,No
CUST-10100,Female,0,5,Month-to-month,Fiber optic,No,No,No,Electronic check,77.8,362.16,1,Yes
CUST-10101,Male,0,33,Month-to-month,DSL,No,Yes,No,Electronic check,73.64,2280.31,0,No
CUST-10102,Female,0,35,Two year,Fiber optic,Yes,No,No,Electronic check,95.4,3073.44,1,No
CUST-10103,Male,0,66,One year,Fiber optic,No,Yes,Yes,Bank transfer,71.31,4836.05,1,No
CUST-10104,Female,0,34,One year,Fiber optic,No,Yes,Yes,Electronic check,97.74,2991.37,1,No
CUST-10105,Female,0,72,Month-to-month,DSL,Yes,No,No,Credit card,47.22,3276.11,6,No
CUST-10106,Female,0,14,Month-to-month,Fiber optic,No,No,Yes,Credit card,90.57,1210.52,1,Yes
CUST-10107,Female,0,68,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,76.37,4975.73,3,No
CUST-10108,Male,0,34,Two year,Fiber optic,No,No,Yes,Bank transfer,73.18,2554.37,1,No
CUST-10109,Female,0,31,Month-to-month,Fiber optic,No,Yes,No,Mailed check,55.22,1751.4,0,Yes
CUST-10110,Male,1,21,Month-to-month,DSL,No,Yes,No,Mailed check,52.57,1103.41,5,No
CUST-10111,Female,0,18,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer,58.87,1063.22,3,No
CUST-10112,Female,0,15,One year,DSL,Yes,Yes,No,Bank transfer,36.82,563.59,2,No
CUST-10113,Male,0,70,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,90.22,6048.94,2,Yes
CUST-10114,Female,0,20,One year,DSL,No,No,No,Electronic check,39.51,764.58,0,No
CUST-10115,Female,0,35,Month-to-month,DSL,Yes,No,No,Electronic check,46.79,1533.99,3,No
CUST-10116,Male,0,40,Month-to-month,DSL,No,No,No,Credit card,64.46,2412.76,3,Yes
CUST-10117,Male,1,40,Month-to-month,DSL,No,Yes,Yes,Credit card,54.11,2251.55,2,No
CUST-10118,Male,0,28,Month-to-month,Fiber optic,No,No,No,Bank transfer,59.6,1692.25,8,No
CUST-10119,Male,1,67,One year,Fiber optic,Yes,No,No,Electronic check,70.34,4561.7,1,No
CUST-10120,Male,1,33,Two year,Fiber optic,No,No,No,Mailed check,85.74,2562.94,3,No
CUST-10121,Female,1,14,Month-to-month,Fiber optic,No,No,No,Mailed check,85.74,1214.08,1,Yes
CUST-10122,Female,0,18,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,98.61,1850.07,3,No
CUST-10123,Male,1,6,Month-to-month,Fiber optic,Yes,Yes,No,Electronic check,115.95,722.83,5,Yes
CUST-10124,Female,0,30,Two year,No,Yes,Yes,Yes,Credit card,18.0,543.85,4,No
CUST-10125,Female,0,37,Two year,No,Yes,No,Yes,Credit card,21.52,793.89,0,No
CUST-10126,Male,0,39,One year,No,No,Yes,Yes,Credit card,18.0,644.52,1,No
CUST-10127,Female,0,34,Month-to-month,No,Yes,No,Yes,Credit card,18.0,558.66,1,No
CUST-10128,Female,0,21,Month-to-month,No,Yes,No,Yes,Electronic check,18.0,355.24,4,Yes
CUST-10129,Female,0,24,Two year,Fiber optic,No,No,No,Electronic check,71.7,1694.21,1,Yes
CUST-10130,Female,0,24,Month-to-month,Fiber optic,No,No,No,Bank transfer,97.18,2418.64,3,Yes
CUST-10131,Female,0,47,One year,Fiber optic,Yes,Yes,No,Mailed check,87.53,4239.98,2,No
CUST-10132,Male,1,3,Two year,DSL,No,No,No,Credit card,45.78,129.92,2,No
CUST-10133,Female,0,17,One year,Fiber optic,No,Yes,Yes,Electronic check,74.09,1202.83,1,No
CUST-10134,Female,0,10,One year,No,Yes,No,No,Electronic check,18.0,170.38,0,No
CUST-10135,Male,0,72,Month-to-month,Fiber optic,No,Yes,No,Bank transfer,66.38,4681.32,1,No
CUST-10136,Female,0,54,Two year,DSL,No,No,No,Mailed check,55.06,3036.56,1,No
CUST-10137,Male,0,17,Month-to-month,Fiber optic,Yes,No,Yes,Mailed check,82.85,1433.03,1,No
CUST-10138,Male,0,7,Two year,DSL,Yes,Yes,No,Bank transfer,45.06,325.8,2,No
CUST-10139,Male,0,9,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,71.65,630.83,2,No
CUST-10140,Female,0,47,One year,Fiber optic,No,No,Yes,Mailed check,92.37,4335.7,2,No
CUST-10141,Male,0,5,Two year,Fiber optic,No,No,Yes,Electronic check,88.41,461.08,2,No
CUST-10142,Male,0,24,One year,Fiber optic,Yes,No,No,Credit card,98.2,2359.83,2,No
CUST-10143,Male,1,42,Month-to-month,DSL,Yes,Yes,No,Bank transfer,46.5,1806.81,0,No
CUST-10144,Female,0,8,Month-to-month,Fiber optic,Yes,Yes,No,Mailed check,99.78,757.52,2,No
CUST-10145,Female,1,24,Two year,DSL,Yes,No,Yes,Bank transfer,53.93,1179.49,0,No
CUST-10146,Male,0,17,One year,Fiber optic,No,Yes,Yes,Mailed check,68.63,1069.39,0,No
CUST-10147,Male,0,16,Month-to-month,Fiber optic,Yes,No,No,Electronic check,95.99,1495.57,2,No
CUST-10148,Female,0,14,Two year,DSL,Yes,Yes,No,Credit card,52.28,739.83,2,No
CUST-10149,Male,1,44,Two year,No,No,No,No,Mailed check,18.0,735.25,1,No
CUST-10150,Female,1,62,Two year,Fiber optic,Yes,Yes,No,Credit card,95.41,5607.81,1,No
CUST-10151,Male,0,20,One year,DSL,Yes,No,Yes,Credit card,39.09,743.17,2,No
CUST-10152,Female,0,31,Two year,Fiber optic,No,No,Yes,Electronic check,77.75,2472.85,1,No
CUST-10153,Male,0,25,Two year,DSL,Yes,Yes,Yes,Electronic check,34.69,804.37,3,No
CUST-10154,Male,0,4,Month-to-month,DSL,No,No,Yes,Bank transfer,49.25,178.3,2,Yes
CUST-10155,Female,1,19,Two year,No,Yes,Yes,Yes,Bank transfer,18.51,349.36,0,No
CUST-10156,Male,0,3,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,81.37,238.98,2,Yes
CUST-10157,Female,0,16,Two year,Fiber optic,No,Yes,No,Mailed check,96.88,1395.71,1,Yes
CUST-10158,Female,0,24,One year,Fiber optic,No,No,No,Electronic check,76.4,1860.59,0,Yes
CUST-10159,Female,0,40,One year,No,Yes,No,Yes,Electronic check,40.62,1565.77,1,No
CUST-10160,Female,1,29,Month-to-month,No,No,Yes,No,Mailed check,23.37,665.66,3,Yes
CUST-10161,Female,0,45,Month-to-month,DSL,No,No,Yes,Electronic check,65.69,2957.87,4,No
CUST-10162,Male,0,12,Month-to-month,DSL,No,No,No,Electronic check,69.52,757.25,1,No
CUST-10163,Male,0,57,One year,Fiber optic,Yes,No,Yes,Bank transfer,99.72,5262.95,2,No
CUST-10164,Male,0,62,Two year,DSL,Yes,No,Yes,Electronic check,74.44,4474.42,2,No
CUST-10165,Female,0,3,Month-to-month,Fiber optic,No,No,No,Mailed check,83.07,230.7,0,No
CUST-10166,Male,1,5,Month-to-month,DSL,Yes,Yes,Yes,Bank transfer,45.97,210.88,2,No
CUST-10167,Male,0,23,One year,Fiber optic,Yes,No,No,Credit card,76.58,1670.99,2,No
CUST-10168,Male,0,15,Month-to-month,DSL,Yes,Yes,No,Mailed check,61.74,892.83,4,Yes
CUST-10169,Male,0,17,Month-to-month,Fiber optic,Yes,No,Yes,Bank transfer,83.3,1455.02,2,Yes
CUST-10170,Male,0,29,Month-to-month,Fiber optic,Yes,No,No,Electronic check,100.78,2891.03,1,Yes
CUST-10171,Male,0,46,One year,DSL,Yes,No,Yes,Credit card,69.07,3302.35,0,No
CUST-10172,Female,0,11,One year,No,No,No,Yes,Electronic check,29.89,318.41,2,No
CUST-10173,Female,0,52,Two year,Fiber optic,Yes,No,No,Electronic check,87.59,4422.04,0,No
CUST-10174,Female,0,13,Month-to-month,Fiber optic,No,No,No,Electronic check,106.06,1305.27,4,Yes
CUST-10175,Male,0,72,Month-to-month,No,No,No,Yes,Electronic check,18.0,1182.26,2,No
CUST-10176,Female,0,57,One year,DSL,Yes,Yes,Yes,Bank transfer,49.5,2611.95,1,No
CUST-10177,Male,0,15,Two year,DSL,No,No,Yes,Credit card,67.3,918.82,2,No
CUST-10178,Female,0,7,Month-to-month,DSL,No,No,No,Bank transfer,61.34,431.72,0,Yes
CUST-10179,Female,0,14,Two year,DSL,No,No,No,Electronic check,65.73,876.35,4,No
CUST-10180,Female,0,13,One year,No,Yes,Yes,No,Credit card,25.31,297.7,1,Yes
CUST-10181,Male,1,36,Two year,No,No,No,No,Mailed check,24.35,887.88,0,No
CUST-10182,Male,0,3,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,107.98,303.92,2,Yes
CUST-10183,Female,0,5,Month-to-month,Fiber optic,No,No,No,Mailed check,77.62,401.29,4,Yes
CUST-10184,Male,0,36,Month-to-month,No,No,Yes,Yes,Mailed check,24.55,904.39,2,No
CUST-10185,Male,0,12,One year,DSL,No,No,Yes,Electronic check,54.73,621.03,1,No
CUST-10186,Male,0,16,Two year,DSL,No,Yes,Yes,Credit card,58.43,874.46,4,No
CUST-10187,Male,0,42,Month-to-month,No,Yes,No,Yes,Electronic check,20.48,902.06,0,Yes
CUST-10188,Male,0,48,Month-to-month,Fiber optic,No,No,No,Bank transfer,81.24,3989.12,1,No
CUST-10189,Male,0,55,Month-to-month,DSL,No,Yes,No,Electronic check,44.72,2555.76,5,No
CUST-10190,Female,1,39,One year,Fiber optic,Yes,No,Yes,Mailed check,85.09,2995.29,1,No
CUST-10191,Female,0,20,Two year,DSL,Yes,No,Yes,Bank transfer,39.1,774.05,1,No
CUST-10192,Female,1,19,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,87.87,1569.27,3,No
CUST-10193,Male,1,17,One year,Fiber optic,Yes,No,Yes,Electronic check,63.84,1037.76,1,No
CUST-10194,Female,1,8,Month-to-month,DSL,No,Yes,Yes,Bank transfer,55.51,405.77,4,No
CUST-10195,Male,0,11,Two year,Fiber optic,No,No,No,Credit card,103.94,1157.35,1,No
CUST-10196,Male,0,50,Two year,Fiber optic,No,No,No,Electronic check,99.16,4853.16,1,No
CUST-10197,Male,0,13,Month-to-month,Fiber optic,No,No,No,Electronic check,85.35,1130.35,2,Yes
CUST-10198,Male,0,8,One year,Fiber optic,Yes,No,No,Mailed check,123.44,906.0,0,No
CUST-10199,Female,1,53,Two year,Fiber optic,No,No,No,Mailed check,76.34,4246.65,1,No
CUST-10200,Male,0,28,Two year,DSL,Yes,No,Yes,Electronic check,37.69,1005.0,1,No
CUST-10201,Female,0,71,One year,DSL,No,No,Yes,Bank transfer,56.94,4215.54,0,No
CUST-10202,Male,0,66,Month-to-month,Fiber optic,No,No,Yes,Bank transfer,78.95,5218.05,2,No
CUST-10203,Female,0,9,One year,Fiber optic,No,Yes,Yes,Electronic check,111.82,922.15,2,No
CUST-10204,Male,0,22,One year,DSL,No,No,No,Electronic check,69.74,1560.88,0,Yes
CUST-10205,Male,0,10,Month-to-month,No,Yes,No,Yes,Electronic check,30.1,296.22,4,Yes
CUST-10206,Female,1,10,Two year,No,No,No,Yes,Electronic check,43.03,399.44,0,No
CUST-10207,Female,0,17,Month-to-month,DSL,Yes,Yes,Yes,Credit card,71.59,1129.5,0,No
CUST-10208,Male,0,37,Two year,DSL,No,Yes,No,Electronic check,43.93,1695.44,1,No
CUST-10209,Female,0,37,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,80.54,3128.5,1,Yes
CUST-10210,Male,1,34,Month-to-month,DSL,No,Yes,Yes,Credit card,54.56,1829.73,0,No
CUST-10211,Female,0,20,Month-to-month,No,No,No,No,Mailed check,32.66,606.17,4,No
CUST-10212,Female,0,39,One year,Fiber optic,Yes,No,Yes,Credit card,93.32,3461.39,0,No
CUST-10213,Male,0,8,Two year,DSL,Yes,Yes,Yes,Mailed check,54.13,403.54,0,No
CUST-10214,Female,1,28,Month-to-month,Fiber optic,Yes,No,Yes,Credit card,90.82,2520.37,2,Yes
CUST-10215,Male,0,24,Month-to-month,DSL,Yes,Yes,No,Electronic check,41.79,962.82,2,Yes
CUST-10216,Male,0,19,Two year,Fiber optic,Yes,Yes,Yes,Bank transfer,91.38,1660.99,0,No
CUST-10217,Male,1,29,One year,DSL,No,No,Yes,Electronic check,58.34,1726.14,1,No
CUST-10218,Male,0,10,Month-to-month,No,No,No,Yes,Mailed check,22.65,236.63,2,No
CUST-10219,Female,0,35,Two year,Fiber optic,No,No,No,Electronic check,87.1,2833.72,1,No
CUST-10220,Male,0,24,Month-to-month,No,Yes,No,Yes,Mailed check,44.78,1033.97,1,Yes
CUST-10221,Male,0,6,Month-to-month,DSL,No,No,Yes,Mailed check,34.8,204.73,0,No
CUST-10222,Female,0,23,Month-to-month,Fiber optic,No,Yes,Yes,Electronic check,98.1,2113.83,1,No
CUST-10223,Male,0,15,One year,No,No,Yes,No,Electronic check,21.77,313.51,1,No
CUST-10224,Female,0,51,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,60.48,2801.62,5,No
CUST-10225,Male,0,9,Two year,Fiber optic,No,Yes,Yes,Bank transfer,70.53,575.21,2,No
CUST-10226,Female,0,9,Month-to-month,No,Yes,No,Yes,Bank transfer,19.89,182.25,0,No
CUST-10227,Female,0,32,Two year,Fiber optic,Yes,No,No,Bank transfer,73.06,2222.9,2,No
CUST-10228,Female,0,21,Month-to-month,No,No,No,Yes,Mailed check,21.78,460.2,2,No
CUST-10229,Male,1,20,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,98.88,1804.41,1,No
CUST-10230,Male,0,72,Month-to-month,Fiber optic,No,Yes,Yes,Bank transfer,95.48,6878.67,4,Yes
CUST-10231,Female,0,38,Month-to-month,Fiber optic,No,No,No,Electronic check,78.64,2982.44,0,No
CUST-10232,Male,0,18,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,93.88,1729.02,2,No
CUST-10233,Female,0,5,Two year,DSL,No,Yes,No,Electronic check,55.97,260.45,0,No
CUST-10234,Male,0,17,Two year,No,Yes,No,Yes,Mailed check,34.28,572.58,3,No
CUST-10235,Female,0,8,One year,Fiber optic,Yes,Yes,Yes,Bank transfer,102.22,846.55,0,Yes
CUST-10236,Female,0,11,Month-to-month,Fiber optic,No,No,No,Electronic check,75.08,770.54,2,Yes
CUST-10237,Male,0,11,Two year,No,No,No,Yes,Credit card,24.76,250.24,3,No
CUST-10238,Male,0,48,Month-to-month,Fiber optic,No,No,Yes,Electronic check,69.24,3162.91,2,No
CUST-10239,Female,0,6,One year,DSL,No,No,Yes,Electronic check,48.55,304.37,1,Yes
CUST-10240,Male,0,45,One year,Fiber optic,No,Yes,No,Bank transfer,64.59,2684.45,1,No
CUST-10241,Female,1,33,Month-to-month,Fiber optic,Yes,Yes,No,Credit card,70.21,2126.78,2,No
CUST-10242,Male,0,33,Month-to-month,DSL,Yes,No,Yes,Electronic check,49.36,1709.88,6,No
CUST-10243,Female,0,10,Two year,DSL,Yes,No,No,Electronic check,48.96,469.54,1,No
CUST-10244,Female,0,41,Month-to-month,Fiber optic,Yes,No,No,Mailed check,80.95,3061.43,4,No
CUST-10245,Male,0,9,One year,Fiber optic,Yes,No,Yes,Electronic check,80.51,712.87,0,No
CUST-10246,Female,0,62,Two year,No,No,No,Yes,Mailed check,24.45,1367.19,1,No
CUST-10247,Male,0,49,Month-to-month,Fiber optic,No,No,No,Credit card,67.94,3208.78,3,No
CUST-10248,Female,0,70,Month-to-month,Fiber optic,Yes,No,Yes,Electronic check,66.34,4204.56,0,No
CUST-10249,Male,0,24,Month-to-month,DSL,No,No,Yes,Electronic check,75.42,1782.6,2,No
CUST-10250,Male,0,21,Two year,No,No,Yes,Yes,Bank transfer,19.26,401.87,1,No
CUST-10251,Male,0,17,Month-to-month,No,Yes,Yes,Yes,Bank transfer,18.0,275.56,3,No
CUST-10252,Male,0,72,Month-to-month,No,Yes,No,No,Mailed check,18.0,1266.07,3,No
CUST-10253,Male,0,37,Month-to-month,Fiber optic,No,No,Yes,Credit card,99.17,3822.44,4,Yes
CUST-10254,Female,1,8,Two year,DSL,Yes,No,No,Credit card,71.0,545.11,1,No
CUST-10255,Male,0,58,Two year,Fiber optic,Yes,Yes,Yes,Electronic check,79.06,4783.17,3,No
CUST-10256,Female,1,20,One year,Fiber optic,No,No,Yes,Credit card,109.5,2287.54,1,No
CUST-10257,Male,0,1,Two year,DSL,No,No,Yes,Mailed check,38.95,36.46,1,No
CUST-10258,Male,0,13,One year,DSL,No,No,Yes,Credit card,62.58,802.71,2,No
CUST-10259,Female,0,49,Two year,DSL,Yes,Yes,Yes,Bank transfer,51.54,2587.67,4,No
CUST-10260,Female,0,33,Month-to-month,Fiber optic,No,Yes,Yes,Credit card,113.11,3756.26,4,No
CUST-10261,Male,1,38,Month-to-month,No,Yes,Yes,Yes,Credit card,26.54,1022.49,3,No
CUST-10262,Male,0,57,Two year,Fiber optic,Yes,Yes,Yes,Electronic check,78.7,4212.77,1,No
CUST-10263,Female,0,4,Month-to-month,Fiber optic,Yes,No,No,Bank transfer,64.64,268.3,2,Yes
CUST-10264,Female,0,13,Month-to-month,DSL,Yes,No,No,Bank transfer,51.51,626.31,0,Yes
CUST-10265,Female,1,25,One year,Fiber optic,No,No,Yes,Mailed check,81.93,2041.59,1,No
